patient_id,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_MYC_TARGETS_V1
TCGA-AR-A5QQ,1.4954560280107438,1.3885870703209706,3.179017924210672,1.8432614423059177
TCGA-D8-A1JA,0.16455496873900602,0.43805356942711937,0.9495454258048283,-1.9502726962649248
TCGA-BH-A0BQ,-0.8170807032887094,1.3511379004952473,1.2148033307419486,0.34837740375901116
TCGA-BH-A0BT,-0.5529964983725222,0.10969918245060589,-0.31188500409670594,0.35666697476061504
TCGA-A8-A06X,0.8734152534889993,-0.5057453681459984,-0.09663863428431732,0.7712280336938926
TCGA-A8-A096,-0.022725884309271423,0.9283318117300973,1.1797412834071554,-0.5015393548930368
TCGA-BH-A0C7,1.304522766238168,0.15560138934652049,-0.16564577943668907,-0.25274153944303457
TCGA-AC-A5XU,0.19446749728437535,0.6110443817553224,-0.9985769225989826,0.8489808688427053
TCGA-PE-A5DE,-0.2213464222562754,0.07602449347710379,1.5687344249906934,-0.03377127832631782
TCGA-PE-A5DC,0.6419314802027744,-0.38886090942288287,-0.6031477557008205,0.531982788381759
TCGA-AR-A0TV,0.9387967206060611,-1.8318965903368798,-0.5747953773587673,0.22877826644224072
TCGA-GM-A3XG,-1.5609089539370606,-0.16899696917911702,-0.470197202829646,0.988297498678392
TCGA-BH-A18J,0.07582267859075194,0.8041509389324976,0.09051541898809387,-0.05053978216166803
TCGA-BH-A0W7,0.10707770325301491,0.922053091250803,0.9860864463412276,0.9636550730308304
TCGA-E9-A3QA,0.943116740935832,-0.014410810310357968,2.3543375896165326,0.685965145519957
TCGA-A7-A4SD,0.912219503604447,0.8649081425555766,1.2871697412037828,-0.17865658657871655
TCGA-BH-A0HA,-0.6468483277791783,0.9618777506680436,0.36543034541506925,0.3472542385874947
TCGA-AR-A5QN,-0.40543673899073807,0.2764434219389377,0.7166667414115918,-0.4504593230011574
TCGA-A7-A0CE,1.4894213923759005,-0.2310397147285413,0.23837706509318662,1.3232493093859512
TCGA-AR-A0U1,0.45025202446440904,-0.2912354190992902,0.4840099784003512,1.3980323300136746
TCGA-EW-A1OZ,0.7794672892717937,0.3794281937051052,-0.28899704679821353,0.9439063459276472
TCGA-A2-A0EY,0.057064926766528114,-0.26590571834618953,-0.5974516638162518,0.06884990587748457
TCGA-A8-A09R,0.03769117630065493,0.837806777926773,0.1329867819019621,-1.6843919921112676
TCGA-LL-A440,-1.1912899476119463,1.4788189688447697,1.667902659799778,-1.3167646517826848
TCGA-BH-A8FY,-0.15770387803271746,-2.4755658267234772,-0.9488686056890807,0.6943481749904324
TCGA-E2-A1II,1.3686342589986282,-1.3354616388737568,0.9165450996638299,1.67466769608393
TCGA-A7-A6VX,0.24037616382164842,0.49386040858081165,-0.44633975009921834,-0.3788685015115924
TCGA-C8-A273,0.5306944740278968,0.4541988656391518,-0.13502715759933495,0.27493696618348706
TCGA-BH-A1EO,-0.3867057542811548,1.5036431663945768,0.5768023610391484,-1.8894621435704837
TCGA-OL-A5RX,-1.3481914242935982,0.46432745818808335,0.5361527303578676,-0.09125045156005691
TCGA-BH-A0B9,1.4353545742273153,-1.746333210478019,-0.0626763393106472,2.5833992025682146
TCGA-EW-A1P5,-0.07635754140068306,-0.1835328615467131,0.31655878199599313,-0.6276637238460402
TCGA-AO-A03P,0.5628574722536734,-0.8801385135213051,-1.1095752611488714,1.5674216436914092
TCGA-AN-A0AS,-0.33921131165045987,0.8946415121744199,0.656246204488768,0.2496677014881678
TCGA-A2-A1G0,-1.2163361601512808,0.22920710615212006,0.08489993026221695,-1.4817772126062267
TCGA-B6-A0I8,-0.8296935345436501,-0.439826655778403,-1.860400287790836,-1.4428217961152616
TCGA-A7-A4SA,-0.18027192713165865,0.4116754468657205,0.4100616289339508,0.017117178077295583
TCGA-AR-A24S,0.4666706864730886,0.9301984660514067,0.9387686396098923,0.15186761053567352
TCGA-LD-A74U,-0.6634542595366485,0.9413458839532723,0.3677627802201778,-0.17767399379823254
TCGA-D8-A1XA,-0.13076257654800327,-0.2449027195950038,-0.2824198543990896,-1.3126489541197357
TCGA-D8-A1XR,0.21187063648699747,-0.2965325642844764,-1.0463231779794075,-0.7250448075835867
TCGA-A8-A07Z,0.4429172495242944,-0.9958023144049483,-0.5721954929729097,0.23766171255889246
TCGA-E2-A1IJ,-1.077206581795444,1.309363236085959,0.8377852799687597,-1.0264841683695043
TCGA-GM-A2DH,1.7390479796171714,-0.7657256737082603,0.007254757259430057,0.2710394958479812
TCGA-BH-A0AY,-0.042331748351486446,1.0185626859471812,0.5229567615350722,0.8603113838284282
TCGA-BH-A42V,-1.282502690461727,0.5206163923857863,0.42954051496949935,0.6056006401184169
TCGA-B6-A0IH,-1.6040246981388773,0.6453799359226657,0.10881326196958939,-1.4700089713339606
TCGA-A1-A0SH,-0.8483150400666077,1.6178898141527718,-0.2493203533584484,-1.4035874702098656
TCGA-AR-A1AQ,1.449504970243466,-0.019254872897216523,0.8718160560678747,1.479439218818822
TCGA-A7-A0DC,-0.5387536448972721,-3.2242469916359577,-2.6014407433043627,-0.18246356310804193
TCGA-A8-A07P,-0.05795619329372486,-0.30672305006345374,-0.7704032154290589,0.17038795888587893
TCGA-A1-A0SN,0.7526373548960265,0.5773446976482551,0.05189100923613133,-0.13915523887921993
TCGA-BH-A18T,1.8860834523012937,-0.8437214503492405,-0.49557751027822833,1.5905655937450267
TCGA-E9-A22B,-0.20162877694867049,0.6533814279807674,0.2417475410675941,1.0092968408211327
TCGA-S3-AA10,1.7317127400519727,-0.21205248020045342,1.867995671921037,1.7863749361111791
TCGA-AO-A0J9,-0.25155743082523746,0.7997497118288693,0.46200749640141386,0.5569893527122246
TCGA-A1-A0SE,0.09937759380783207,0.5300988236068183,-0.6427930783376178,0.1450411448531741
