patient_id,immune_score,emt_score,hrd_score,PI3K_score,p53_score,MYC_score,MAPK_score,WNT_score,hypoxia_score,cellcycle_score,apoptosis_score,angio_score,dna_repair_score,TMB_score
TCGA-D8-A1XJ,-0.3146483968778693,-0.9897423196407796,-0.3445805499450953,-0.1111032910342876,-0.3364898734120324,-0.9049013838295212,1.1985034616331327,-0.4313924177499569,2.5615383617506278,0.9720281778276229,-2.3120143008223,0.2529674546677062,1.5042759109349448,0.531533602095544
TCGA-EW-A6SA,0.093095511732409,-1.048659342825871,-1.641069007072727,0.9046571973197648,1.8380370293415316,-0.9903070792360624,-1.4897596856044706,0.0385055209808367,1.2167995552730926,0.6967061215329892,0.6230916725820739,0.6848580762561742,0.653366827887866,0.34248992866927885
TCGA-D8-A27H,0.964661627497704,-1.0649199439379085,0.9512833703526536,1.898744646976296,-1.2153712728684385,0.4394801353877635,1.0427452300893436,0.7288441893620164,1.160591529855694,1.067954352384152,-2.7928579702520064,0.8485275172591356,-1.0160345289651422,1.0990390732022555
TCGA-E9-A247,0.5203927272998774,-0.6715062624027378,-0.068374937212098,-0.433935823279808,-0.7805032200475769,-0.1562074698017321,-0.0979038206305169,1.2984686690464675,-0.9531358389083674,0.8297741828285752,0.2621798649884571,-1.3338564170027032,0.6680958939914837,-0.17787775671158323
TCGA-AC-A2FG,-1.294323252438118,-1.1992364981216823,-1.1579704504551775,-0.208936606279361,0.0466170606753519,0.0401864975850166,0.6210010489040603,0.6936300152964588,-0.5074776447282434,-1.6700795585570516,-0.2327406051841622,0.0734762780223995,-0.5157929935028329,-0.47117113998284077
TCGA-B6-A0RP,0.0369787394938028,0.0912920515721268,0.725757529383372,-0.7478032029717315,-0.3372986408922465,-0.8296211059196318,-0.4297415948757724,1.1705707888403625,-0.5572843153038384,-1.375930604083817,-0.0816785496346688,0.2768604135600371,-1.055462116395344,-0.6985374519430598
TCGA-BH-A0DH,-0.1152901926230964,-0.0077904079120357,-1.2241980442903817,-0.488597141761925,-0.6097910688400814,0.3877769165763586,0.0884518396450028,1.4466499135143316,-0.9694902680525922,-1.135418401823339,-0.3917402400071914,0.9563932690370454,-2.411211548120492,0.3257634179181138
TCGA-AN-A0AM,1.6694336646175485,0.7497741988473475,1.1022466540037046,0.5528402398281604,3.008199147439883,-0.8787318265314118,-0.8937833536411469,0.0349841035742817,0.4440527782084721,1.737446814653739,0.3354164362544503,-0.7817526756181348,0.5038571590762781,0.6329706705496854
TCGA-D8-A1XZ,1.0885399052106537,0.4920802615271693,0.3739992131538999,-0.347243668489688,-1.9371029296316369,-0.1564520451035831,-0.4367462892520938,-0.0402333722297479,0.5273942883424252,0.2012344900109335,-0.1057393368075778,-0.3956702548590347,0.7982455239507206,0.4395909137162569
TCGA-E2-A154,0.4769152118575588,-1.3401383081055562,0.4286841619030056,-0.0831633495808472,0.2591984822045197,0.9252555999251976,-0.7907912539101888,1.2014184053217911,0.1508294273903001,-0.3936329257017787,-1.0751162055882293,-0.5611570573884799,0.9044041423088752,-0.11170994239412738
TCGA-A1-A0SQ,-0.6197397953303747,-0.6484373568325841,0.9291946184615372,0.5039235822056254,-0.3607528978183461,-0.6862999790346574,-0.3364867900745379,-0.7980423981205352,-0.159078745080057,0.3743168197918554,0.0920800216500932,0.1322732685851841,0.1103852730986877,-0.5811243028056409
TCGA-A8-A06T,1.2474274978507427,0.7886048564231217,-1.2970999364995444,-0.0849041559019329,0.7145967864461037,-1.3515937151310875,-0.7742032139310998,-0.3573017955160225,-1.034618891185022,-0.4507677269718885,1.5386418319140571,-0.9109991512370612,0.1918132105972802,-0.4980116837583861
TCGA-BH-A0BD,-0.3556296674054578,0.5453308145871424,-0.2323959474022571,0.1480157298594585,0.371306097538307,-0.4945040273227173,0.2785792584308472,0.2730319202574478,-1.1744988192443395,0.9930733510182036,-0.2290818772377684,-0.4625919204814091,1.5612626033707668,-0.4447403915448138
