patient_id,immune_score,emt_score,hrd_score,PI3K_score,p53_score,MYC_score
TCGA-D8-A1XJ,-0.3146483968778693,-0.9897423196407796,-0.3445805499450953,-0.11110329103428768,-0.3364898734120324,-0.9049013838295213
TCGA-EW-A6SA,0.093095511732409,-1.048659342825871,-1.641069007072727,0.9046571973197647,1.8380370293415313,-0.9903070792360625
TCGA-D8-A27H,0.964661627497704,-1.0649199439379085,0.9512833703526536,1.8987446469762956,-1.2153712728684385,0.43948013538776354
TCGA-E9-A247,0.5203927272998774,-0.6715062624027378,-0.068374937212098,-0.43393582327980806,-0.7805032200475769,-0.15620746980173217
TCGA-AC-A2FG,-1.294323252438118,-1.1992364981216823,-1.1579704504551775,-0.20893660627936103,0.04661706067535195,0.040186497585016634
TCGA-B6-A0RP,0.0369787394938028,0.0912920515721268,0.725757529383372,-0.7478032029717315,-0.33729864089224654,-0.8296211059196318
TCGA-BH-A0DH,-0.1152901926230964,-0.0077904079120357,-1.2241980442903817,-0.48859714176192504,-0.6097910688400814,0.3877769165763586
TCGA-AN-A0AM,1.6694336646175485,0.7497741988473475,1.1022466540037046,0.5528402398281604,3.008199147439883,-0.8787318265314118
TCGA-D8-A1XZ,1.0885399052106537,0.4920802615271693,0.3739992131538999,-0.347243668489688,-1.9371029296316369,-0.1564520451035831
TCGA-E2-A154,0.4769152118575588,-1.3401383081055562,0.4286841619030056,-0.08316334958084722,0.2591984822045197,0.9252555999251975
TCGA-A1-A0SQ,-0.6197397953303747,-0.6484373568325841,0.9291946184615372,0.5039235822056254,-0.36075289781834613,-0.6862999790346574
TCGA-A8-A06T,1.2474274978507427,0.7886048564231217,-1.2970999364995444,-0.0849041559019329,0.7145967864461037,-1.3515937151310875
TCGA-BH-A0BD,-0.3556296674054578,0.5453308145871424,-0.2323959474022571,0.1480157298594585,0.37130609753830707,-0.4945040273227173
TCGA-E2-A14P,1.454883938806675,0.6907481775648145,-1.5301849455722083,3.5722688037529435,-0.633369751532368,-0.23437373627346952
TCGA-B6-A0IQ,0.3343501332178473,0.6053993945158045,1.4419002073445362,-0.5756374578162616,-1.5360786852134316,1.003226206155454
TCGA-E9-A1R7,1.2772404090908782,-0.8216758419370882,-0.7417247256219607,-0.2643812876059713,-1.3668596432001672,-0.16677312284171722
TCGA-C8-A1HE,-0.1734877978403219,-0.6072064895910172,-0.3807480786708181,-0.9111778762057096,-0.5520575133296692,0.12383125081822681
TCGA-AR-A24W,-1.045807659512512,-1.585436694698595,-0.4049663234782528,0.22974658663448078,1.2377449203760853,-0.17127330839578375
TCGA-B6-A0RQ,-1.059478545396798,-1.5185030879551622,-1.7497913482576284,-0.4421176129889179,0.05476694836055171,0.48091119152140716
TCGA-AN-A0FY,1.1995227092618863,-0.4371776978170618,0.2483494117477951,0.5675500532413392,-0.6776031114115708,1.9671953008729275
TCGA-AO-A129,-1.6333739091092356,1.3402464424800942,-0.0579101323618783,0.30233821022379165,-0.3013395944644272,1.2185013868451366
TCGA-E9-A1RC,-1.4971103476067242,-2.575768884729245,0.4840812128731791,0.29981404105821574,-1.2158067630500882,-0.8030602281385599
TCGA-EW-A1J1,-0.5243126481131494,1.0484113406999955,-0.9915879893078546,0.5676370935573964,-0.7968029954179764,-0.6783757392546684
TCGA-GM-A2DO,-1.1362041623595838,2.6331244410526446,-0.5414056364677508,-0.496256689574707,-0.3979562019080292,-1.1230136380206825
TCGA-AR-A24N,1.0163726264630977,-0.4256497097847093,0.1033282233606042,0.051662099987314615,0.8596150169361495,-1.3268426945837157
TCGA-AC-A3TN,0.5145113747605529,-0.4790233338695343,-0.4754029400385476,-1.668428625878401,-1.2470998432459282,-0.16496326560801605
TCGA-A8-A094,-0.3727201053423299,1.4740158269726922,0.0503187532338497,1.4468313260222014,-2.049210544965428,0.07305741815385797
TCGA-E2-A1IJ,-0.7476462709423661,0.5118132993096994,1.1438467876797545,-0.13913027280378537,0.12145915903636774,0.33866619596457775
