patient_id,HALLMARK_ANGIOGENESIS,HALLMARK_APOPTOSIS,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_MYC_TARGETS_V1,HALLMARK_PI3K_AKT_MTOR_SIGNALING
TCGA-AR-A5QQ,1.312758487573398,2.7906566375397923,0.5233302571852861,1.4926035939661995,1.3910559757894472,3.1601691178741964,1.8546621335805025,-1.1091769800888698
TCGA-D8-A1JA,-0.3287361733372339,-0.3927132043669524,0.35114981032401227,0.1756177717955661,0.44273251756540744,0.9446815531280203,-1.9501164643198994,0.03149519442994819
TCGA-BH-A0BQ,0.8556255585805529,1.2181828190660158,-0.9638245988657475,-0.8115259270001194,1.3537054028719737,1.2276851387377739,0.3551051720656113,0.8753443676602898
TCGA-BH-A0BT,-0.8224184404739231,-0.480338297293926,-0.06599580485204248,-0.5638874762165592,0.10649527706618146,-0.3231705278603016,0.3421410721120126,-1.221604172151857
TCGA-A8-A06X,-0.620786297907473,0.12664663031231765,0.8772635662980169,0.8632077142847695,-0.5181140389297109,-0.11210824559055524,0.7464731979989886,0.43330956522184744
TCGA-A8-A096,0.8121586292997907,1.1319967405625666,0.10819290457771727,-0.014291584654152178,0.9275762438110765,1.1880737234319407,-0.5050463313319831,0.6256899626257068
TCGA-BH-A0C7,-0.4498346145957915,-0.6892852448175637,1.4960263262909794,1.302109245607775,0.15244698915701035,-0.16658357970039117,-0.2567119110041195,0.45877383308518926
TCGA-AC-A5XU,0.20460800691516548,-0.3278583131703107,-0.4414697790985553,0.18352190758129133,0.600248362491927,-1.0165591831293495,0.8190935393906589,-0.9242739364241503
TCGA-PE-A5DE,0.6609612312632628,2.621107239783625,-0.22772065488173943,-0.21614644380667278,0.08457930521081562,1.5698044064578758,-0.020466839359078635,0.5674376395626198
TCGA-PE-A5DC,0.29832449035278363,-0.1584307915874152,0.5617264144444452,0.636199979051663,-0.39565092961264264,-0.632938823582226,0.5173225564660278,-0.98744469119099
TCGA-AR-A0TV,-1.5098106692647613,-0.7349713477063998,1.0044128656576181,0.9453263397734079,-1.8225471158176003,-0.5533938092118909,0.2380698752990057,-0.5101175088626093
TCGA-GM-A3XG,-0.40428989497725615,-0.02103701973746069,-1.4534437650445224,-1.5641439732197644,-0.16852100187242686,-0.4738190178287936,0.9836726354173267,0.07654182977556646
TCGA-BH-A18J,0.6282087381154214,-0.12252352876694017,0.08660633523340835,0.07260895575344174,0.7957213598133819,0.06483812250870342,-0.06173283436057909,0.08264389311398841
TCGA-BH-A0W7,0.25463921405210144,1.367047692947917,-0.2524476388655739,0.11232804185976247,0.9216663112701698,0.9849609717853035,0.9726331744995395,0.12330268398321118
TCGA-E9-A3QA,0.547553949470118,2.7200970350905456,-0.0006549957487981687,0.9387602306620564,-0.012000912586628934,2.332500347468901,0.6843267930019059,1.1652110372257967
