patient_id,immune_score,emt_score,hrd_score,PI3K_score,p53_score,MYC_score,MAPK_score,WNT_score
TCGA-D8-A1XJ,-0.3146483968778693,-0.9897423196407796,-0.3445805499450953,-0.11110329103428768,-0.3364898734120324,-0.9049013838295213,1.1985034616331327,-0.4313924177499569
TCGA-EW-A6SA,0.093095511732409,-1.048659342825871,-1.641069007072727,0.9046571973197647,1.8380370293415313,-0.9903070792360625,-1.4897596856044706,0.03850552098083671
TCGA-D8-A27H,0.964661627497704,-1.0649199439379085,0.9512833703526536,1.8987446469762956,-1.2153712728684385,0.43948013538776354,1.0427452300893436,0.7288441893620164
TCGA-E9-A247,0.5203927272998774,-0.6715062624027378,-0.068374937212098,-0.43393582327980806,-0.7805032200475769,-0.15620746980173217,-0.09790382063051696,1.2984686690464677
TCGA-AC-A2FG,-1.294323252438118,-1.1992364981216823,-1.1579704504551775,-0.20893660627936103,0.04661706067535195,0.040186497585016634,0.6210010489040603,0.6936300152964588
TCGA-B6-A0RP,0.0369787394938028,0.0912920515721268,0.725757529383372,-0.7478032029717315,-0.33729864089224654,-0.8296211059196318,-0.4297415948757724,1.1705707888403625
TCGA-BH-A0DH,-0.1152901926230964,-0.0077904079120357,-1.2241980442903817,-0.48859714176192504,-0.6097910688400814,0.3877769165763586,0.08845183964500286,1.4466499135143316
TCGA-AN-A0AM,1.6694336646175485,0.7497741988473475,1.1022466540037046,0.5528402398281604,3.008199147439883,-0.8787318265314118,-0.8937833536411469,0.03498410357428171
TCGA-D8-A1XZ,1.0885399052106537,0.4920802615271693,0.3739992131538999,-0.347243668489688,-1.9371029296316369,-0.1564520451035831,-0.4367462892520938,-0.040233372229747925
TCGA-E2-A154,0.4769152118575588,-1.3401383081055562,0.4286841619030056,-0.08316334958084722,0.2591984822045197,0.9252555999251975,-0.7907912539101888,1.2014184053217911
TCGA-A1-A0SQ,-0.6197397953303747,-0.6484373568325841,0.9291946184615372,0.5039235822056254,-0.36075289781834613,-0.6862999790346574,-0.33648679007453797,-0.7980423981205352
TCGA-A8-A06T,1.2474274978507427,0.7886048564231217,-1.2970999364995444,-0.0849041559019329,0.7145967864461037,-1.3515937151310875,-0.7742032139310998,-0.3573017955160225
TCGA-BH-A0BD,-0.3556296674054578,0.5453308145871424,-0.2323959474022571,0.1480157298594585,0.37130609753830707,-0.4945040273227173,0.27857925843084724,0.2730319202574478
TCGA-E2-A14P,1.454883938806675,0.6907481775648145,-1.5301849455722083,3.5722688037529435,-0.633369751532368,-0.23437373627346952,0.35897929443158305,-0.37969801022171956
TCGA-B6-A0IQ,0.3343501332178473,0.6053993945158045,1.4419002073445362,-0.5756374578162616,-1.5360786852134316,1.003226206155454,0.6425539546773542,1.394673792593568
