patient_id,HALLMARK_ANGIOGENESIS,HALLMARK_APOPTOSIS,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_MYC_TARGETS_V1,HALLMARK_PI3K_AKT_MTOR_SIGNALING
TCGA-AR-A5QQ,1.312758487573398,2.7906566375397923,0.5233302571852861,1.4926035939661997,1.3910559757894472,3.1601691178741964,1.8546621335805025,-1.1091769800888698
TCGA-D8-A1JA,-0.3287361733372339,-0.3927132043669524,0.3511498103240122,0.1756177717955661,0.4427325175654074,0.9446815531280204,-1.9501164643198996,0.0314951944299481
TCGA-BH-A0BQ,0.8556255585805529,1.2181828190660158,-0.9638245988657476,-0.8115259270001194,1.3537054028719735,1.227685138737774,0.3551051720656113,0.8753443676602898
TCGA-BH-A0BT,-0.8224184404739231,-0.480338297293926,-0.0659958048520424,-0.5638874762165592,0.1064952770661814,-0.3231705278603016,0.3421410721120126,-1.221604172151857
TCGA-A8-A06X,-0.620786297907473,0.1266466303123176,0.8772635662980169,0.8632077142847695,-0.5181140389297109,-0.1121082455905552,0.7464731979989886,0.4333095652218474
TCGA-A8-A096,0.8121586292997907,1.1319967405625666,0.1081929045777172,-0.0142915846541521,0.9275762438110764,1.1880737234319407,-0.5050463313319831,0.6256899626257068
TCGA-BH-A0C7,-0.4498346145957915,-0.6892852448175637,1.4960263262909794,1.302109245607775,0.1524469891570103,-0.1665835797003911,-0.2567119110041195,0.4587738330851892
TCGA-AC-A5XU,0.2046080069151654,-0.3278583131703107,-0.4414697790985553,0.1835219075812913,0.600248362491927,-1.0165591831293497,0.8190935393906589,-0.9242739364241505
TCGA-PE-A5DE,0.6609612312632628,2.621107239783625,-0.2277206548817394,-0.2161464438066727,0.0845793052108156,1.5698044064578758,-0.0204668393590786,0.5674376395626198
TCGA-PE-A5DC,0.2983244903527836,-0.1584307915874152,0.5617264144444452,0.636199979051663,-0.3956509296126426,-0.632938823582226,0.5173225564660278,-0.98744469119099
TCGA-AR-A0TV,-1.5098106692647613,-0.7349713477063998,1.004412865657618,0.945326339773408,-1.8225471158176003,-0.5533938092118909,0.2380698752990057,-0.5101175088626093
TCGA-GM-A3XG,-0.4042898949772561,-0.0210370197374606,-1.4534437650445224,-1.5641439732197644,-0.1685210018724268,-0.4738190178287936,0.9836726354173267,0.0765418297755664
TCGA-BH-A18J,0.6282087381154214,-0.1225235287669401,0.0866063352334083,0.0726089557534417,0.7957213598133819,0.0648381225087034,-0.061732834360579,0.0826438931139884
TCGA-BH-A0W7,0.2546392140521014,1.367047692947917,-0.2524476388655739,0.1123280418597624,0.9216663112701698,0.9849609717853036,0.9726331744995396,0.1233026839832111
TCGA-E9-A3QA,0.547553949470118,2.7200970350905456,-0.0006549957487981,0.9387602306620564,-0.0120009125866289,2.332500347468901,0.6843267930019059,1.1652110372257969
